"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.97,3.36,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
3.39,2.66,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
3.37,2.83,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
2.73,2.63,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
3.54,4.12,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
2.98,3.2,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
4.82,5.52,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
5.03,5.5,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
4.54,4.68,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
3.76,3.89,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
3.52,3.41,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
4.16,3.82,"rcp85",2070,2100,2085,1990,"relative","bcc-csm1-1"
